crate_c,crate_label,reference_crate_label,mean_absolute_error_6metrics_vs_C100_standard,case_name,q_fit_min,dataset,kinetic_compensation
0.3333333333333333,C/3,C/100_standard,8.061393765077488,deformation_disabled,0.06,BOL,True
0.05,C/20,C/100_standard,4.021839619888027,deformation_disabled,0.06,BOL,True
0.01,C/100,C/100_standard,4.854065894010621,deformation_disabled,0.06,BOL,True
0.1,C/10,C/100_standard,5.557767837388874,deformation_disabled,0.07,BOL,True
0.2,C/5,C/100_standard,5.172636080188619,deformation_disabled,0.07,BOL,True
0.3333333333333333,C/3,C/100_standard,7.814476208138121,deformation_disabled,0.07,BOL,True
0.05,C/20,C/100_standard,3.8072380194092488,deformation_disabled,0.07,BOL,True
0.01,C/100,C/100_standard,4.707249675683563,deformation_disabled,0.07,BOL,True
0.1,C/10,C/100_standard,5.151848355696902,deformation_disabled,0.08,BOL,True
0.2,C/5,C/100_standard,5.032212488967043,deformation_disabled,0.08,BOL,True
0.3333333333333333,C/3,C/100_standard,7.807327806055909,deformation_disabled,0.08,BOL,True
0.05,C/20,C/100_standard,3.5211214767734647,deformation_disabled,0.08,BOL,True
0.01,C/100,C/100_standard,4.438855118924094,deformation_disabled,0.08,BOL,True
0.1,C/10,C/100_standard,4.467486936726771,deformation_disabled,0.09,BOL,True
0.2,C/5,C/100_standard,4.394856321392329,deformation_disabled,0.09,BOL,True
0.3333333333333333,C/3,C/100_standard,7.934273811910252,deformation_disabled,0.09,BOL,True
0.05,C/20,C/100_standard,3.0140524766415826,deformation_disabled,0.09,BOL,True
0.01,C/100,C/100_standard,3.9904550732533792,deformation_disabled,0.09,BOL,True
0.1,C/10,C/100_standard,3.673703272343863,deformation_disabled,0.1,BOL,True
0.2,C/5,C/100_standard,3.0747525903490693,deformation_disabled,0.1,BOL,True
0.3333333333333333,C/3,C/100_standard,8.051945676954222,deformation_disabled,0.1,BOL,True
0.05,C/20,C/100_standard,2.286893079040654,deformation_disabled,0.1,BOL,True
0.01,C/100,C/100_standard,3.2942886493151975,deformation_disabled,0.1,BOL,True
