Q_exp,V_fit,dqdv_fit,dvdq_fit,V_fit_anode,dqdv_fit_anode,dvdq_fit_anode,V_fit_cathode,dqdv_fit_cathode,dvdq_fit_cathode,dqdv_fit_si,dqdv_fit_gr,SoCs,Q_si,x_si,x_gr
1.312186978297162,3.6447165348431714,-2.8525142333989857,-0.3505679264598882,0.16814462763311494,6.745256046664461,0.1482523410648735,3.8128416544208115,-4.9427729358932,-0.20231558539504135,2.5774872349558158,0.28309053775139875,0.5282258064516129,1.2398818975429136,0.5960970661264007,0.1589673911055548
1.302170283806344,3.6412156440495376,-2.8657361446333236,-0.3489504788752811,0.16964377193488753,6.622124341795258,0.15100894341239446,3.810835618971459,-5.051996781077247,-0.1979415354628884,2.582980555370144,0.28842563397733656,0.5241935483870968,1.230841808377411,0.5917508694122169,0.15703915277091943
1.292153589315526,3.6376604821016496,-2.880932350657959,-0.3471098513547588,0.17116984853620126,6.510612931420432,0.15359536967310206,3.808803892114,-5.167571911467262,-0.19351448168160346,2.589856131389113,0.2929532561677819,0.5201612903225806,1.221825181640968,0.5874159527120039,0.15508960657503684
1.282136894824708,3.6342176756328715,-2.8996665096883913,-0.3448672447879062,0.17272080772132695,6.4123675366573485,0.15594864054241064,3.8069117363497336,-5.293284925505375,-0.18891860424545825,2.6005830311826195,0.2978058571954163,0.5161290322580645,1.2128326038715254,0.5830925980151564,0.15312127615971385
1.27212020033389,3.6306930608390053,-2.9163393105976203,-0.34289562821655295,0.17429402831334473,6.3285090322178545,0.15801510196305202,3.804961209456173,-5.408898493876075,-0.1848805262535791,2.610018615461871,0.3021425071258442,0.5120967741935484,1.2038581911708857,0.5787779765244643,0.15113254469564164
1.262103505843072,3.6273395358977396,-2.9329849909376975,-0.34094957972502016,0.17588638572392565,6.2599234280219695,0.15974636295447198,3.8032029860601533,-5.518665826259311,-0.1812032167705695,2.619149243777085,0.30690890133846827,0.5080645161290324,1.1949035063699895,0.5744728396009565,0.14912970330551392
1.252086811352254,3.623934059606459,-2.9539542204014135,-0.33852928156215967,0.17749428934081327,6.207360059444257,0.16109908083687507,3.8014093926232926,-5.636019098847729,-0.1774302007252686,2.6319278090442735,0.31331613543703035,0.5040322580645162,1.185968491892635,0.5701771595637668,0.14710069756783564
1.242070116861436,3.6205960864471116,-2.9827600968298453,-0.33525994968982786,0.1791137462749148,6.1718384347912,0.16202627637867373,3.7996960798060795,-5.772549764061473,-0.17323367331118789,2.6511745831225264,0.32150113902283184,0.5000000000000001,1.1770541887666193,0.5658914369070285,0.1450427546724557
1.232053422370618,3.6172363143750794,-3.015373152525858,-0.33163391375370566,0.1807402247607533,6.154115749646852,0.1624928812977533,3.797968415064867,-5.912225942340923,-0.16914103245588308,2.6733660671609916,0.33208669095576443,0.495967741935484,1.1681623544774151,0.5616165165756803,0.14294703715475607
1.2220367278798,3.6139356993695033,-3.047553412965975,-0.32813206677377593,0.1823690293726995,6.154485299000736,0.16248312432598766,3.7963014729117357,-6.036863171133449,-0.16564894244774564,2.694806375442887,0.3450977157715827,0.49193548387096786,1.1592931930126114,0.5573524966406785,0.1407979589385785
1.2120200333889821,3.6105802192321663,-3.0844044207460293,-0.32421169976086617,0.18399531239332734,6.173702256412815,0.1619773611468336,3.794575355664533,-6.163923177688163,-0.16223433861404146,2.7193407944891397,0.3619825611225015,0.48790322580645173,1.1504479714296076,0.5530999862642344,0.13858169398317458
1.2020033388981641,3.6073635333622174,-3.130264491541988,-0.31946182269965107,0.18561398485477293,6.2117763019893895,0.1609845479592913,3.792977123482647,-6.310052981656206,-0.1584772747403349,2.750305919019659,0.3837107909412513,0.48387096774193566,1.141631205194173,0.5488611563433524,0.13627145297359233
1.1919866444073461,3.60421211603621,-3.179417177666228,-0.3145230537925272,0.18722037846262865,6.270481129412139,0.1594773956514164,3.7914278184448684,-6.449713019952066,-0.15504565814114812,2.781888633324287,0.4078588646700296,0.47983870967741954,1.1328466806546795,0.5446378272378267,0.1338524234253615
1.1819699499165282,3.6011175841899745,-3.2215328777275682,-0.3104112352581012,0.18880885755563603,6.315334737509888,0.1583447341374491,3.7899151819626344,-6.576070289183377,-0.1520665011207143,2.8200009415639142,0.4349129559043919,0.4758064516129034,1.1241030544836175,0.5404341608094314,0.13132271737072498
1.1719532554257102,3.5980515494166165,-3.2779117459237064,-0.3050722769591232,0.19039256011479788,6.424463651912799,0.15565501716275776,3.7884066961639804,-6.6926672418090005,-0.14941725979636544,2.8482500338033425,0.46546408545425694,0.4717741935483873,1.115309407375414,0.5362064458535644,0.12864078815286653
1.1619365609348922,3.59502124975673,-3.378357808438784,-0.29600180226680095,0.19192715506140076,6.703157322810822,0.14918342981403754,3.786904303635726,-6.811136666986781,-0.14681837245271367,2.844883908325379,0.4977494577952642,0.46774193548387116,1.1066961165344391,0.5320654406415573,0.1258445992945681
1.1519198664440742,3.592074854792293,-3.499279397798123,-0.28577312249751685,0.1933812097938771,7.068301650210645,0.14147670112101096,3.785450824651932,-6.930178797649591,-0.14429642137648102,2.8288611311608296,0.5359538099978869,0.4637096774193551,1.0984376694714224,0.5280950333997223,0.12295843622050302
1.1419031719532562,3.589254749631401,-3.6189573808052007,-0.27632267937278243,0.19476141284679666,7.430479674695371,0.13458081359209118,3.7840830125630434,-7.0550785718248195,-0.14174186578071613,2.819664234472143,0.5858207839087906,0.45967741935483897,1.09049889690511,0.5242783158197644,0.11993273264630615
