Q_Ah,V_full_meas,V_full_recon,V_anode_meas,V_anode_recon,V_cathode_meas,V_cathode_recon,rpt
0.18084684305586265,3.396632132394297,3.3999001938343776,0.28594505198303805,0.2935334789624118,3.6825771843773354,3.6934336727967896,2
0.18350635545374297,3.398248426531002,3.4015954822943932,0.2846668000000001,0.2923827053780175,3.682915226531002,3.6939781876724105,2
0.1861658678516233,3.3997791,3.4032907707544084,0.2836934000000002,0.2912319317936233,3.6834725,3.694522702548032,2
0.18882538024950365,3.4015244981076878,3.404986059214424,0.2827199,0.29008115820922903,3.684244398107688,3.695067217423653,2
0.19148489264738397,3.403121763646064,3.406479053249549,0.2806561332052417,0.2890190023651821,3.6837778968513053,3.6954980556147308,2
0.1941444050452643,3.4048116,3.407907786119002,0.27952661224603326,0.2879849969721273,3.684338212246033,3.6958927830911295,2
0.19680391744314465,3.406435,3.4093365189884555,0.2785668976168707,0.28695099157907256,3.685001897616871,3.6962875105675277,2
0.19946342984102497,3.407896,3.410765251857909,0.2776898000000001,0.28591698618601785,3.6855858,3.6966822380439264,2
0.2021229422389053,3.4093571,3.4120789394639677,0.27687206363801264,0.2849753175746607,3.6862291636380125,3.6970542570386282,2
0.20478245463678565,3.4104934,3.413392008259542,0.27643857110682934,0.28403414562841595,3.686931971106829,3.6974261538879576,2
0.20744196703466597,3.4117923,3.4147050770551157,0.27563843362320056,0.2830929736821712,3.687430733623201,3.697798050737287,2
0.2101014794325463,3.4134157,3.4160012057174782,0.27473858850508054,0.2821689363128409,3.68815428850508,3.6981701420303192,2
0.21276099183042663,3.4147143,3.4172407431367833,0.27395780000000025,0.2813021397570708,3.6886721000000002,3.698542882893854,2
0.21542050422830697,3.4158506,3.4184802805560883,0.27341315614934864,0.28043534320130065,3.689263756149349,3.698915623757389,2
0.2180800166261873,3.4171207898099856,3.419719817975393,0.27255957073655196,0.2795685466455305,3.6896803605465376,3.6992883646209234,2
0.22073952902406763,3.4182858,3.4209199992011774,0.2716864000000001,0.27872967178521185,3.6899722,3.6996496709863886,2
0.22339904142194797,3.4194221,3.4220751010883044,0.2710372000000003,0.2779227789702214,3.6904593,3.699997880058526,2
0.2260585538198283,3.4207208,3.423230202975432,0.27036261344038753,0.277115886155231,3.691083413440387,3.7003460891306625,2
0.22871806621770863,3.421914056159663,3.4243853048625588,0.26973920000000007,0.27630899334024056,3.691653256159663,3.7006942982027993,2
0.23137757861558897,3.4229937,3.4255345284946896,0.26909019999999995,0.27553716364166314,3.6920839,3.701071692136353,2
0.2340370910134693,3.42413,3.4266812548795484,0.2685847153150315,0.2747802297364569,3.6927147153150313,3.7014614846160057,2
