x_plot,U_si_est,U_si_lit,U_gr_est,U_gr_lit
0.2503128911138924,0.25886897592571756,0.26727320933169463,0.11650581252770918,0.11717331350462479
0.25156445556946183,0.2585348142152918,0.26692710777822964,0.11631374040541392,0.11698265133860865
0.2528160200250313,0.25820216577306004,0.26658100622476466,0.11619648888965681,0.1167919891725925
0.25406758448060074,0.25786951733082836,0.26623516310108886,0.11607923737389969,0.11660132700657636
0.2553191489361702,0.25753976568184356,0.26589043557788505,0.11596198585814257,0.1164106648405602
0.2565707133917397,0.2572106237026666,0.26554570805468125,0.11584473434238544,0.11625200160168653
0.25782227784730916,0.2568815974408887,0.26520119524314856,0.11572748282662834,0.11613760429483168
0.2590738423028786,0.25655579668466555,0.2648572152196403,0.11561023131087123,0.11602320698797683
0.26032540675844806,0.2562299959284424,0.264513235196132,0.11549297979511411,0.11590880968112198
0.2615769712140175,0.2559048770794518,0.2641693246668497,0.11538101455869586,0.11579441237426713
0.26282853566958697,0.25558225524695305,0.2638255274775381,0.11529173564685304,0.11568001506741228
0.2640801001251564,0.2552596334144543,0.26348173028822647,0.11520245673501021,0.11556561776055743
0.26533166458072593,0.2549381184979763,0.26313777952883227,0.11511317782316739,0.11545122045370257
0.2665832290362954,0.2546185161043484,0.2627936565668773,0.11502389891132457,0.11533682314684772
0.26783479349186484,0.2542989137107204,0.26244953360492235,0.11493461999948175,0.11524210883400972
0.2690863579474343,0.2539807191045018,0.2621049860195568,0.11484534108763894,0.1151567377068281
0.27033792240300375,0.2536639793547033,0.2617601121292468,0.11475606217579612,0.11507136657964649
0.2715894868585732,0.2533472396049048,0.26141523823893686,0.1146667832639533,0.11498599545246486
0.2728410513141427,0.2530321004714128,0.2610695947266733,0.11457750435211048,0.11490062432528325
0.27409261576971217,0.2527180691375983,0.2607235649944214,0.11448822544026765,0.11481525319810164
0.2753441802252816,0.25240403780378384,0.26037753526216956,0.11440635661819143,0.11472988207092003
0.2765957446808511,0.2520917070419156,0.2600303768723872,0.11432533268053917,0.11464451094373841
0.27784730913642053,0.2517802323427817,0.25968289255128313,0.11424430874288692,0.1145591398165568
0.27909887359199,0.25146875764364773,0.25933540823017903,0.11416328480523466,0.11447376868937519
0.28035043804755944,0.25115900486455933,0.2589863550128064,0.11408226086758241,0.11438839756219357
0.28160200250312895,0.2508499373466683,0.2586371237880765,0.11400123692993015,0.11430302643501195
0.2828535669586984,0.2505408698287772,0.2582878249865634,0.1139202129922779,0.11422442336530818
0.28410513141426785,0.2502334803549216,0.25793664455297444,0.11383918905462566,0.11414606904370915
0.2853566958698373,0.24992667277601874,0.25758546411938554,0.1137581651169734,0.11406771472211014
0.28660826032540676,0.24961986519711585,0.2572338828029506,0.11367714117932115,0.11398936040051112
0.2878598247809762,0.24931463908356657,0.25688056009748617,0.11359611724166889,0.1139110060789121
0.28911138923654567,0.24900994629790874,0.25652723739202166,0.1135144677497412,0.11383265175731308
0.2903629536921152,0.2487052535122509,0.25617311182333385,0.11343232236382393,0.11375429743571405
0.29161451814768463,0.24840200458938244,0.2558175392935368,0.11335017697790668,0.11367594311411504
0.2928660826032541,0.24809928343509838,0.2554619667637397,0.11326803159198942,0.11359758879251601
0.29411764705882354,0.24779656228081431,0.2551050964888802,0.11318588620607216,0.113519234470917
0.295369211514393,0.24749511721740863,0.2547471405461079,0.11310374082015491,0.11344088014931797
0.29662077596996245,0.24719422640591376,0.2543891846033357,0.11302159543423765,0.11336252582771895
0.2978723404255319,0.2468933355944189,0.25402943864317484,0.1129394500483204,0.11328349314203513
0.2991239048811014,0.24659353298027265,0.2536690987134669,0.11285730466240314,0.11320178077777804
0.30037546933667086,0.24629433298776662,0.25330875878375886,0.11277515927648588,0.11312006841352096
0.3016270337922403,0.2459951329952606,0.2529459829373082,0.11269301389056863,0.11303835604926386
0.30287859824780977,0.24569682244237767,0.25258314640595375,0.11261304961408396,0.11295664368500678
0.3041301627033792,0.245399175403456,0.2522197765505728,0.11253675517976026,0.1128749313207497
0.3053817271589487,0.2451015283645343,0.2518545117454655,0.11246046074543656,0.11279321895649261
0.30663329161451813,0.24480456962600475,0.2514892469403583,0.11238416631111287,0.11271150659223553
0.30788485607008764,0.24450833922942317,0.2511228144416785,0.11230787187678916,0.11262979422797843
0.3091364205256571,0.24421210883284158,0.25075512648841075,0.11223157744246547,0.11254808186372135
0.31038798498122655,0.24391637093852891,0.250387438535143,0.11215528300814176,0.11246636949946426
0.311639549436796,0.24362142232516465,0.25001790194599605,0.11207898857381807,0.11238465713520718
0.31289111389236546,0.24332647371180038,0.24964778857772715,0.11200269413949436,0.1123029447709501
0.3141426783479349,0.24303183411998663,0.24927753577423323,0.11192639970517067,0.11223107835527178
0.31539424280350437,0.24273803378304823,0.24890511076766675,0.11185010527084696,0.11215958003594037
0.3166458072590739,0.24244423344610982,0.24853268576110027,0.11177381083652327,0.11208808171660896
0.31789737171464333,0.2421505772102813,0.24815941961706023,0.11169694850359961,0.11201658339727755
0.3191489361702128,0.24185779289782738,0.24778475285923718,0.11161893304920194,0.11194508507794614
0.32040050062578224,0.2415650085853735,0.24741008610141413,0.11154091759480428,0.11187358675861472
0.3216520650813517,0.24127222753536895,0.24703386362729185,0.1114629021404066,0.11180208843928331
0.32290362953692114,0.24098032815520595,0.24665699385436618,0.11138488668600893,0.11173059011995191
0.3241551939924906,0.24068842877504298,0.2462800154292079,0.11130687123161126,0.1116590918006205
0.3254067584480601,0.24039652939488,0.24590108548773718,0.11122885577721359,0.11158759348128909
0.32665832290362956,0.24010527623887037,0.2455221555462664,0.11115084032281591,0.11151609516195768
0.327909887359199,0.23981413176590788,0.24514241972415424,0.11107282486841825,0.11144459684262627
0.32916145181476847,0.2395229872929454,0.24476154193715746,0.11099480941402058,0.11137309852329486
0.3304130162703379,0.23923228105548142,0.24438066415016066,0.11091679395962291,0.11130160020396346
