sto,p
0.4721564232057454,0.2043551746521124
0.4726085561582138,0.2042257093638891
0.47299646010973156,0.20411463562637
0.47338436406124973,0.2040035618888508
0.4737722680127675,0.2038924881513317
0.4741601719642854,0.2037814144138126
0.47454807591580356,0.2036703406762934
0.4749342742578167,0.2035592669387743
0.4753178020939336,0.2034481932012551
0.4757013299300501,0.203337119463736
0.4761117375081838,0.2032182610672476
0.47653563668806015,0.2030954953595042
0.4769595358679364,0.2029727296517608
0.4773834350478128,0.2028499639440174
0.477807334227689,0.202727198236274
0.47822810420018586,0.2026044325285306
0.4786471606610858,0.2024816668207872
0.47906621712198566,0.2023589011130438
0.47952072436254034,0.2022257498356685
0.4800075837009156,0.2020831207705569
0.4804945605805729,0.2019404572708523
0.4809815374602299,0.2017977937711478
0.4814641840272001,0.2016551302714433
0.48194553609502894,0.2015124667717389
0.4824268881628584,0.2013698032720343
0.4829680627965999,0.2012094095137836
0.4835665500544673,0.2010320293954827
0.4841650373123351,0.2008546492771817
0.48475688031325787,0.2006772691588808
0.4853483894407014,0.2004998890405799
0.48593989856814523,0.2003225089222789
0.4867298326773042,0.200085625670218
0.4875451860306284,0.1998400942547312
0.488354337682445,0.1995945628392444
0.4891639991221871,0.1993488767321733
0.49000861720102595,0.199092583277198
0.49085589674699986,0.1988334111464663
0.4916999023462461,0.1985742390157347
0.49255773069072445,0.198310822280065
0.49350167574061543,0.1980201342094257
0.49445783074559446,0.1977229942891199
0.4954139857505735,0.1974258543688141
0.49651906266725876,0.1970813671986747
0.4977249807255377,0.1967020909982231
0.4989472700992587,0.1963176658158199
0.5002574579590842,0.1959014114255748
0.5015898083918834,0.1954773117645321
0.5028478264368663,0.1950737776898066
0.5040545862971934,0.1946850195439256
0.5052883176633616,0.1942860435261106
0.5066901545585497,0.1938290042311281
0.5081193881451064,0.1933614413120984
0.5096661854977979,0.1928510943260514
0.5112285045450581,0.1923327499621835
0.5127810385919567,0.1918144057862033
0.5143445201136931,0.1912880827226284
0.5160476297563288,0.1907124324881244
0.5177538586183325,0.1901292955090383
0.519450914308496,0.1895461582902168
0.5211756251528988,0.1889498921755204
0.5229170630827931,0.188341534676642
0.5247937785184736,0.1876819965318483
0.5266444740292882,0.1870272435013682
0.5284387344288443,0.18638588296077
0.5303448662477249,0.1856998039194235
0.5322309038197224,0.1850162272745606
0.5340670031154395,0.1843459326625406
0.5360505935799398,0.1836148249297503
0.5381021400869368,0.1828530495539754
0.5400947358744881,0.1821075996116189
0.5418648599148921,0.1814411578505903
0.5438524116647565,0.1806871678212312
0.5458855353242055,0.1799096512281703
0.5479049408110445,0.1791321347957477
0.5499112860251473,0.1783546187747466
0.5519144231801851,0.1775735069160169
0.554141269283951,0.1766995040595036
0.5562786939281559,0.1758554040075185
0.5582372263778765,0.1750778880170552
0.5602283418572019,0.1742831267181763
0.5625686282288827,0.1733445681205325
0.5645045948448,0.1725645191999879
0.5663929053519016,0.1718011564843352
0.5684468402893771,0.1709683685412416
0.570633056232747,0.1700794575366438
0.5725411744056695,0.169301940983947
0.5744463426022439,0.1685244249516153
0.5763493777318539,0.167746908961152
0.5781322751324368,0.1670179727887509
0.5797945261760676,0.1663383505821469
0.5816427975314825,0.1655829029412334
0.583423915288441,0.1648553829773662
0.5851587141636052,0.1641475441871716
0.5869772661929809,0.1634069608361837
0.5888703719589459,0.1626376290695277
0.590788624152704,0.1618601130790644
0.5927127934579559,0.1610825969201075
0.5946437532989786,0.1603050803497108
0.5965827562025154,0.1595275643326459
0.5986047689564853,0.1587211034000181
0.6007442559250089,0.1578723794439695
0.6030238798170116,0.1569737494258462
0.6052968470866266,0.1560841667791164
0.6073068136842833,0.1553033163073786
0.6097150055106793,0.154374961535155
0.6121577207978148,0.153441941620539
0.6146245843281782,0.1525089227537775
0.6171172537666788,0.1515759029414684
0.6196373591142137,0.1506428833516898
0.6221865106117389,0.1497098640185105
0.6245242347068523,0.1488640369674689
0.6266961272687185,0.1480865205398608
0.6288903647405405,0.1473090045493975
0.6308761283857198,0.1466117812369023
0.6328369233123171,0.1459319768924772
0.6347610959798488,0.1452709325059324
0.6364079197614293,0.1447088726225817
0.6380908803727511,0.1441410681924652
0.6398323673734796,0.1435580792472689
0.6414770453823309,0.1430109279687635
0.6430563154046858,0.1424922907352125
0.6447649540707338,0.1419335198307442
0.6465689642203527,0.1413503823170793
0.6483892844391672,0.1407672453345293
0.6502736851790365,0.1401675524206369
0.6523970571390474,0.1395011097741597
0.6545420568937332,0.1388346674368078
0.6567264330267611,0.1381623247515959
0.6590121882110547,0.1374660412515307
0.6614438834363359,0.1367360921050125
0.663990022337341,0.1359803808042958
0.666670357954529,0.1351943765670833
0.6694570162465511,0.1343875014695087
0.6721062758473872,0.1336296463489273
0.6751005381808907,0.1327843792009726
0.6784550613441238,0.1318513598677932
0.6816244802739607,0.1309819504948111
0.684613893482945,0.1301731765053194
0.6892601601312675,0.1289362596332177
0.6931816899774297,0.1279096412720213
0.6949797930242512,0.1274431313884965
0.6967969392944143,0.1269766216553483
0.6986360131857738,0.1265058434808761
0.7014761347434896,0.1257872046443381
0.7052020948415846,0.1248541853111587
0.7082068528233945,0.1241105829009075
0.7101014796343393,0.1236440730173827
0.7120178574177698,0.1231775632532928
0.7139360177408532,0.1227110537980736
0.7156952030957713,0.1222877482168686
0.7167288859868198,0.1220390173280207
0.7176993595021526,0.1218057624947259
0.7186796095186991,0.121572507661431
0.719638860580058,0.1213442496225345
0.7203683461087433,0.1211706653098466
0.7210218462210702,0.1210151620635462
0.7216776547199755,0.1208596588172457
0.7223381905754535,0.1207041555709453
0.7229987264309319,0.1205486523246448
0.72365926228641,0.1203931490783444
0.7244522299254703,0.1202064687625638
0.7254438490425694,0.119973213929269
0.7264448432342719,0.1197399590959741
0.7274458374259739,0.1195067042626793
0.7284468316176759,0.1192734494293845
0.7294492066908898,0.1190401945960897
0.7304599950612385,0.1188069397627948
0.7314707834315868,0.1185736849295
0.7324658459899408,0.1183440590671775
0.7332138308365213,0.1181714501553476
0.7338932439179092,0.1180159469090471
0.734573346265301,0.1178604436627467
0.7352534486126932,0.1177049404164462
0.735933550960085,0.1175494371701458
0.7366136533074772,0.1173939339238453
0.7372937556131295,0.1172384306870885
0.7379796811647487,0.1170829274648919
0.7386657192008128,0.1169274242426954
0.7393517572368774,0.1167719210204988
0.7400377952729417,0.1166164177983023
0.7407238333090063,0.1164609145761057
0.7413784058958233,0.1163125771581494
0.7418348926079831,0.1162099448706521
0.7422498799163453,0.1161166429286568
0.742664867224708,0.1160233409866614
0.7430798545330702,0.1159300390446661
0.7434948418414324,0.1158367371026708
0.7439098291497946,0.1157434351606755
0.7443248164581573,0.1156501332186801
0.7447398037665196,0.1155568312766848
0.7451547910748818,0.1154635293346895
0.745570713769014,0.1153702273926941
0.7459571903813964,0.1152839912222953
0.7462746644785245,0.1152131518766273
0.7465867111959331,0.1151435235652815
0.7468987579133416,0.1150738952539357
0.7472108046307497,0.11500426694259
0.7475228513481582,0.1149346386312442
0.7478348980655668,0.1148650103198984
0.7481469447829754,0.1147953820085526
0.7484589915003834,0.1147257536972069
0.748771038217792,0.1146561253858611
0.7490830849352005,0.1145864970745153
0.7493951316526091,0.1145168687631695
0.7497081800377026,0.1144472404518238
0.7500224167102658,0.114377612140478
0.7503357587259887,0.1143081820664815
0.750628023888256,0.1142434221848678
0.7509164329028116,0.1141795167453893
0.7512048419173677,0.1141156113059107
0.7514932509319238,0.1140517058664321
0.7517816599464798,0.1139878004269535
0.7520700689610359,0.1139238949874749
0.752358477975592,0.1138599895479963
0.7526468869901476,0.1137960841085178
0.7529352960047037,0.1137321786690392
0.7532237050192596,0.1136682732295606
0.7535121140338158,0.113604367790082
0.7538010973677844,0.1135404623506034
0.7540913575143475,0.1134765569111249
0.7543816176609112,0.1134126514716463
0.7546718778074747,0.1133487460321677
0.7549656594614759,0.1132840652761908
0.7552677887162402,0.1132175466616526
0.7555704885764842,0.1131509024191411
0.7558731884367282,0.1130842581766296
0.7561758882969722,0.1130176139341181
0.7564785881572162,0.1129509696916066
0.7567812880174603,0.1128843254490951
0.7570839878777038,0.1128176812065837
0.7573866877379478,0.1127510369640722
0.7576893875981918,0.1126843927215607
0.7579927135032075,0.1126177484790492
0.7582971706780671,0.1125511042365377
0.7586016278529266,0.1124844599940262
0.7589060850277858,0.1124178157515148
0.7592105422026454,0.1123511715090033
0.7595048706878998,0.1122867443889711
0.7597725637094159,0.1122281476465794
0.7600389637352057,0.1121698339348661
0.7603053637609957,0.1121115202231528
0.7605717637867855,0.1120532065114395
0.7608381638125753,0.1119948927997262
0.7611045638383656,0.1119365790880128
0.7613709638641555,0.1118782653762995
0.7616373638899452,0.1118199516645862
0.7619037639157351,0.1117616379528729
0.7621706222682723,0.1117033242411596
0.7624384022626903,0.1116450105294463
0.7627061822571087,0.1115866968177329
0.7629739622515266,0.1115283831060196
0.7632417422459447,0.1114700693943063
0.7635095222403626,0.111411755682593
0.7637773022347806,0.1113534419708797
0.7640507987484227,0.1112938833885226
0.7643543124362417,0.1112277880488353
0.7646603467384481,0.1111611438018966
0.7649663810406547,0.1110944995549578
0.765272415342861,0.1110278553080191
0.7655784496450672,0.1109612110610804
0.7658844839472738,0.1108945668141416
0.76619051824948,0.1108279225672029
0.7664974415917715,0.1107612783202642
0.766804866239015,0.1106946340733255
0.767112290886259,0.1106279898263867
0.7674197155335026,0.110561345579448
0.7677271401807462,0.1104947013325093
0.7680345648279902,0.1104280570855705
0.7683419894752338,0.1103614128386318
0.7686579726404411,0.110292913255793
0.769012098171755,0.1102161450800212
0.769370760212553,0.110138393468923
0.7697294222533515,0.1100606418578247
0.77008808429415,0.1099828902467264
0.7704467463349486,0.1099051386356281
0.7708064453542992,0.1098273870245298
0.7711665045569602,0.1097496354134316
0.7715265637596218,0.1096718838023333
