U,x_si_comp_1,x_si_comp_2,x_si_comp_3,x_si_comp_4,x_si_total_raw
0.12274827586206896,0.12262163904413984,0.48845951804020216,0.023443631549473917,0.06637063232372407,0.70089542095754
0.1236670745272525,0.11927239471605482,0.4881151207341722,0.0234436145139499,0.06636097189339303,0.69719210185757
0.12458587319243604,0.1159776230496802,0.4877605534347408,0.02344359685931994,0.0663512231684936,0.6935329965122345
0.12550467185761957,0.11273848844001982,0.48739553163898686,0.023443578563085442,0.0663413853687507,0.6899189840108427
0.12642347052280312,0.10955603182700924,0.4870197638546162,0.023443559601930272,0.0663314577074923,0.6863508129910479
0.12734226918798663,0.10643117204977545,0.4866329514886154,0.023443539951691055,0.06632143939160633,0.6828291028816882
0.12826106785317018,0.10336470765572328,0.4862347887381889,0.0234435195873264,0.06631132962149755,0.6793543456027361
0.12917986651835373,0.10035731913167212,0.48582496248433416,0.023443498482885,0.06630112759104433,0.6759269076899356
0.13009866518353724,0.0974095715228612,0.48540315218842905,0.023443476611472572,0.0662908324875552,0.672547032810318
0.13101746384872082,0.09452191740466585,0.4849690297922297,0.02344345394521761,0.06628044349172546,0.6692148446338386
0.13193626251390433,0.09169470017129888,0.48452225962170187,0.023443430455235864,0.06626995977759359,0.6659303500258302
0.13285506117908785,0.0889281576055796,0.4840624982951301,0.02344340611159357,0.06625938051249773,0.6626934425248009
0.13377385984427143,0.0862224256940325,0.483589394635979,0.02344338088326932,0.06624870485703184,0.6595039060703127
0.13469265850945494,0.08357754265206901,0.48310258959100355,0.023443354738114545,0.066237931965002,0.656361418946189
0.1356114571746385,0.08099345312480012,0.4826017161541334,0.023443327642812577,0.06622706098338249,0.6532655579051285
0.13653025583982203,0.07847001253008756,0.4820863992966844,0.023443299562836206,0.06621609105227201,0.6502158024418802
0.13744905450500555,0.07600699151171629,0.4815562559044795,0.02344327046240372,0.06620502130484954,0.647211539183449
0.1383678531701891,0.07360408047205273,0.481010894722488,0.023443240304433344,0.06619385086733037,0.6442520663663045
0.13928665183537264,0.07126089415518831,0.4804499163076253,0.023443209050495992,0.06618257885892206,0.6413365983722317
0.14020545050055616,0.06897697625332884,0.47987291299038254,0.02344317666076635,0.06617120439178026,0.638464270296258
0.1411242491657397,0.0667518040110537,0.47927946884598843,0.02344314309397217,0.06615972657096453,0.6356341425219789
0.14204304783092325,0.0645847928039953,0.47866915967583634,0.023443108307341677,0.0661481444943942,0.6328452052815675
0.14296184649610677,0.06247530067045483,0.4780415529999398,0.023443072256549156,0.06613645725280405,0.6300963831797478
0.14388064516129032,0.060422632776454974,0.4773962080612148,0.023443034895658483,0.06612466392970018,0.6273865396630284
0.14479944382647386,0.05842604579670506,0.4767326758424151,0.02344299617706465,0.06611276360131561,0.6247144814175004
0.14571824249165738,0.05648475219589967,0.4760504990965808,0.023442956051433147,0.06610075533656615,0.6220789626804797
0.14663704115684092,0.054597924396677,0.475349212391894,0.023442914467637174,0.06608863819700596,0.619478689453214
0.14755583982202447,0.05276469882240411,0.4746283421718607,0.02344287137269252,0.0660764112367834,0.6169123236037407
0.148474638487208,0.050984179804725534,0.47388740683177605,0.023442826711690144,0.06606407350259676,0.6143784868507886
0.14939343715239156,0.0492554433474995,0.4731259168124551,0.023442780427726254,0.06605162403364992,0.6118757646213309
0.15031223581757508,0.04757754074034045,0.47234337471224247,0.0234427324618299,0.06603906186160823,0.6094027097760211
0.1512310344827586,0.045949502016482964,0.47153927541834145,0.023442682752887887,0.06602638601055426,0.6069578461982665
0.15214983314794217,0.044370339251080276,0.4707131062585306,0.023442631237567017,0.06601359549694372,0.6045396722441216
0.1530686318131257,0.0428390496973397,0.4698643471743588,0.02344257785023346,0.06600068932956125,0.6021466640514932
0.15398743047830923,0.04135461875908288,0.468992470916936,0.023442522522869224,0.06598766650947648,0.5997772787083647
0.15490622914349278,0.03991602279940101,0.4680969432664525,0.023442465184985634,0.06597452602999995,0.5974299572808391
0.1558250278086763,0.03852223178604879,0.4671772232765826,0.023442405763533597,0.06596126687663928,0.5951031277028043
0.15674382647385984,0.03717221177509703,0.4662327635449402,0.02344234418281065,0.0659478880270553,0.5927952075299032
0.1576626251390434,0.03586492723514083,0.4652630105107653,0.02344228036436467,0.06593438845101826,0.5905046065612891
0.1585814238042269,0.034599343215039886,0.46426740478103107,0.02344221422689403,0.06592076711036426,0.5882297293333292
0.15950022246941045,0.03337442735876213,0.4632453814861606,0.023442145686144195,0.06590702295895161,0.5859689774900185
0.160419021134594,0.032189151771407486,0.46219637066654556,0.023442074654800502,0.0658931549426175,0.583720752035371
0.16133781979977752,0.031042494740915565,0.46111979769104877,0.023442001042377144,0.06587916199913456,0.581483455473476
0.16225661846496106,0.02993344232031431,0.4600150837086643,0.023441924755102025,0.06586504305816779,0.5792554938422484
0.1631754171301446,0.02886098977565045,0.45888164613448956,0.02344184569579753,0.06585079704123152,0.5770352786471691
0.16409421579532812,0.02782414290496157,0.4577188991711388,0.023441763763756944,0.06583642286164641,0.5748212287015037
0.16501301446051167,0.026821919233812597,0.4565262543666965,0.023441678854616357,0.06582191942449689,0.5726117718796224
0.16593181312569522,0.02585334909302907,0.4553031212102721,0.02344159086022201,0.06580728562658844,0.5704053467901116
0.16685061179087876,0.024917476584319833,0.45404890776616497,0.023441499668492714,0.06579252035640536,0.5682004043753829
0.16776941045606228,0.024013360439502876,0.4527630213476003,0.02344140516327744,0.06577762249406854,0.5659954094444493
0.16868820912124582,0.023140074779027842,0.45144486923092364,0.023441307224207605,0.06576259091129345,0.5637888421454526
0.16960700778642937,0.022296709775438527,0.4500938594110719,0.023441205726544116,0.06574742447134843,0.5615791993844029
0.1705258064516129,0.021482372227336115,0.4487094013990523,0.023441100541018813,0.06573212202901317,0.5593649961964204
0.17144460511679643,0.0206961860492997,0.4472909070620635,0.023440991533670182,0.06571668243053731,0.5571447670755707
0.17236340378197998,0.01993729268309275,0.4458377915067874,0.023440878565673152,0.06570110451359955,0.5549170672691528
0.1732822024471635,0.01920485143533927,0.44434947400626085,0.02344076149316271,0.06568538710726676,0.5526804740420296
0.17420100111234704,0.018498039746693624,0.4428253789706039,0.023440640167051118,0.06566952903195349,0.5504335879163021
0.1751197997775306,0.01781605339735718,0.4412649369617414,0.02344051443283855,0.06565352909938173,0.5481750338913189
0.17603859844271413,0.017158106653612722,0.4396675857520923,0.023440384130416856,0.06563738611254101,0.545903462648663
0.17695739710789765,0.016523432359861295,0.43803277142703967,0.02344024909386623,0.06562109886564878,0.543617551746416
0.1778761957730812,0.01591128198045243,0.4363599495308034,0.02344010915124455,0.0656046661441111,0.5413160068066115
0.17879499443826474,0.01532092559540418,0.43464858625514924,0.023439964124369047,0.06558808672448369,0.5389975626994061
0.17971379310344826,0.014751651853911953,0.43289815967015244,0.023439813828590155,0.06557135937443333,0.5366609847270879
0.1806325917686318,0.014202767889348746,0.4311081609960162,0.023439658072557115,0.06555448285269957,0.5343050698106216
0.18155139043381535,0.013673599199264844,0.4292780959147083,0.02343949665797518,0.065537455909057,0.5319286476810053
0.18247018909899887,0.013163489493701578,0.4274074859199302,0.023439329379353967,0.06552027728427763,0.5295305820772633
0.18338898776418242,0.01267180051494544,0.4254958697036744,0.02343915602374681,0.06550294571009391,0.5271097719524606
0.18430778642936596,0.012197911831663773,0.42354280457735477,0.02343897637048062,0.06548545990916206,0.5246651526886613
0.1852265850945495,0.011741220610183373,0.42154786792520876,0.023438790190876056,0.0654678185950259,0.5221956973212941
0.18614538375973302,0.011301141365498972,0.41951065868738224,0.023438597247957542,0.06545002047208111,0.5197004177729199
0.18706418242491657,0.010877105694430032,0.4174307988698048,0.02343839729615288,0.06543206423553989,0.5171783660959276
0.18798298109010012,0.01046856199318217,0.4153079350776555,0.023438190080981962,0.06541394857139624,0.5146286357232159
0.18890177975528363,0.010074975161413114,0.41314174006890336,0.023437975338734304,0.06539567215639161,0.5120503627254424
0.18982057842046718,0.0096958262947544,0.4109319143240916,0.02343775279613494,0.06537723365798116,0.5094427270729621
0.19073937708565072,0.009330612367597236,0.4086781876282108,0.023437522169998243,0.06535863173430051,0.5068049539001067
0.19165817575083424,0.008978845907814885,0.4063803206601854,0.02343728316686936,0.06533986503413301,0.5041363147690027
0.1925769744160178,0.00864005466496511,0.40403810658518,0.023437035482652593,0.06532093219687772,0.5014361289296754
0.19349577308120133,0.008313781273393793,0.40165137264461503,0.02343677880222655,0.0653018318525178,0.49870376457275317
